"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3312","testVerifyTextBoxForm","Surefire suite","Thu Oct 09 18:45:03 UTC 2025","passed","Thu Oct 09 18:45:07 UTC 2025","automatiom.tests.tests.elements.text_box.ElementsPageTest","Surefire test","automatiom.tests.tests.elements.text_box.ElementsPageTest","testVerifyTextBoxForm"
"","1063","testVerifyTextBox","Surefire suite","Thu Oct 09 18:45:01 UTC 2025","passed","Thu Oct 09 18:45:02 UTC 2025","automatiom.tests.tests.elements.text_box.ElementsPageTest","Surefire test","automatiom.tests.tests.elements.text_box.ElementsPageTest","testVerifyTextBox"
"","817","testGoToElementsPage","Surefire suite","Thu Oct 09 18:44:58 UTC 2025","passed","Thu Oct 09 18:44:59 UTC 2025","automatiom.tests.tests.elements.text_box.ElementsPageTest","Surefire test","automatiom.tests.tests.elements.text_box.ElementsPageTest","testGoToElementsPage"
"","135","testGetTitle","Surefire suite","Thu Oct 09 18:44:56 UTC 2025","passed","Thu Oct 09 18:44:56 UTC 2025","automatiom.tests.tests.elements.text_box.ElementsPageTest","Surefire test","automatiom.tests.tests.elements.text_box.ElementsPageTest","testGetTitle"
